audspec_lengthL1norm_sma_stddev,audspecRasta_lengthL1norm_sma_stddev,pcm_RMSenergy_sma_stddev,pcm_zcr_sma_stddev,audspec_lengthL1norm_sma_de_stddev,audspecRasta_lengthL1norm_sma_de_stddev,pcm_RMSenergy_sma_de_stddev,pcm_zcr_sma_de_stddev,audSpec_Rfilt_sma[0]_stddev,audSpec_Rfilt_sma[1]_stddev,audSpec_Rfilt_sma[2]_stddev,audSpec_Rfilt_sma[3]_stddev,audSpec_Rfilt_sma[4]_stddev,audSpec_Rfilt_sma[5]_stddev,audSpec_Rfilt_sma[6]_stddev,audSpec_Rfilt_sma[7]_stddev,audSpec_Rfilt_sma[8]_stddev,audSpec_Rfilt_sma[9]_stddev,audSpec_Rfilt_sma[10]_stddev,audSpec_Rfilt_sma[11]_stddev,audSpec_Rfilt_sma[12]_stddev,audSpec_Rfilt_sma[13]_stddev,audSpec_Rfilt_sma[14]_stddev,audSpec_Rfilt_sma[15]_stddev,audSpec_Rfilt_sma[16]_stddev,audSpec_Rfilt_sma[17]_stddev,audSpec_Rfilt_sma[18]_stddev,audSpec_Rfilt_sma[19]_stddev,audSpec_Rfilt_sma[20]_stddev,audSpec_Rfilt_sma[21]_stddev,audSpec_Rfilt_sma[22]_stddev,audSpec_Rfilt_sma[23]_stddev,audSpec_Rfilt_sma[24]_stddev,audSpec_Rfilt_sma[25]_stddev,pcm_fftMag_fband250-650_sma_stddev,pcm_fftMag_fband1000-4000_sma_stddev,pcm_fftMag_spectralRollOff25.0_sma_stddev,pcm_fftMag_spectralRollOff50.0_sma_stddev,pcm_fftMag_spectralRollOff75.0_sma_stddev,pcm_fftMag_spectralRollOff90.0_sma_stddev,pcm_fftMag_spectralFlux_sma_stddev,pcm_fftMag_spectralCentroid_sma_stddev,pcm_fftMag_spectralEntropy_sma_stddev,pcm_fftMag_spectralVariance_sma_stddev,pcm_fftMag_spectralSkewness_sma_stddev,pcm_fftMag_spectralKurtosis_sma_stddev,pcm_fftMag_spectralSlope_sma_stddev,pcm_fftMag_psySharpness_sma_stddev,pcm_fftMag_spectralHarmonicity_sma_stddev,audSpec_Rfilt_sma_de[0]_stddev,audSpec_Rfilt_sma_de[1]_stddev,audSpec_Rfilt_sma_de[2]_stddev,audSpec_Rfilt_sma_de[3]_stddev,audSpec_Rfilt_sma_de[4]_stddev,audSpec_Rfilt_sma_de[5]_stddev,audSpec_Rfilt_sma_de[6]_stddev,audSpec_Rfilt_sma_de[7]_stddev,audSpec_Rfilt_sma_de[8]_stddev,audSpec_Rfilt_sma_de[9]_stddev,audSpec_Rfilt_sma_de[10]_stddev,audSpec_Rfilt_sma_de[11]_stddev,audSpec_Rfilt_sma_de[12]_stddev,audSpec_Rfilt_sma_de[13]_stddev,audSpec_Rfilt_sma_de[14]_stddev,audSpec_Rfilt_sma_de[15]_stddev,audSpec_Rfilt_sma_de[16]_stddev,audSpec_Rfilt_sma_de[17]_stddev,audSpec_Rfilt_sma_de[18]_stddev,audSpec_Rfilt_sma_de[19]_stddev,audSpec_Rfilt_sma_de[20]_stddev,audSpec_Rfilt_sma_de[21]_stddev,audSpec_Rfilt_sma_de[22]_stddev,audSpec_Rfilt_sma_de[23]_stddev,audSpec_Rfilt_sma_de[24]_stddev,audSpec_Rfilt_sma_de[25]_stddev,pcm_fftMag_fband250-650_sma_de_stddev,pcm_fftMag_fband1000-4000_sma_de_stddev,pcm_fftMag_spectralRollOff25.0_sma_de_stddev,pcm_fftMag_spectralRollOff50.0_sma_de_stddev,pcm_fftMag_spectralRollOff75.0_sma_de_stddev,pcm_fftMag_spectralRollOff90.0_sma_de_stddev,pcm_fftMag_spectralFlux_sma_de_stddev,pcm_fftMag_spectralCentroid_sma_de_stddev,pcm_fftMag_spectralEntropy_sma_de_stddev,pcm_fftMag_spectralVariance_sma_de_stddev,pcm_fftMag_spectralSkewness_sma_de_stddev,pcm_fftMag_spectralKurtosis_sma_de_stddev,pcm_fftMag_spectralSlope_sma_de_stddev,pcm_fftMag_psySharpness_sma_de_stddev,pcm_fftMag_spectralHarmonicity_sma_de_stddev,F0final_sma_amean,F0final_sma_stddev,voicingFinalUnclipped_sma_amean,voicingFinalUnclipped_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_stddev,logHNR_sma_amean,logHNR_sma_stddev,F0final_sma_de_amean,F0final_sma_de_stddev,voicingFinalUnclipped_sma_de_amean,voicingFinalUnclipped_sma_de_stddev,jitterLocal_sma_de_amean,jitterLocal_sma_de_stddev,jitterDDP_sma_de_amean,jitterDDP_sma_de_stddev,shimmerLocal_sma_de_amean,shimmerLocal_sma_de_stddev,logHNR_sma_de_amean,logHNR_sma_de_stddev,audspec_lengthL1norm_sma_amean,audspecRasta_lengthL1norm_sma_amean,pcm_RMSenergy_sma_amean,pcm_zcr_sma_amean,audSpec_Rfilt_sma[0]_amean,audSpec_Rfilt_sma[1]_amean,audSpec_Rfilt_sma[2]_amean,audSpec_Rfilt_sma[3]_amean,audSpec_Rfilt_sma[4]_amean,audSpec_Rfilt_sma[5]_amean,audSpec_Rfilt_sma[6]_amean,audSpec_Rfilt_sma[7]_amean,audSpec_Rfilt_sma[8]_amean,audSpec_Rfilt_sma[9]_amean,audSpec_Rfilt_sma[10]_amean,audSpec_Rfilt_sma[11]_amean,audSpec_Rfilt_sma[12]_amean,audSpec_Rfilt_sma[13]_amean,audSpec_Rfilt_sma[14]_amean,audSpec_Rfilt_sma[15]_amean,audSpec_Rfilt_sma[16]_amean,audSpec_Rfilt_sma[17]_amean,audSpec_Rfilt_sma[18]_amean,audSpec_Rfilt_sma[19]_amean,audSpec_Rfilt_sma[20]_amean,audSpec_Rfilt_sma[21]_amean,audSpec_Rfilt_sma[22]_amean,audSpec_Rfilt_sma[23]_amean,audSpec_Rfilt_sma[24]_amean,audSpec_Rfilt_sma[25]_amean,pcm_fftMag_fband250-650_sma_amean,pcm_fftMag_fband1000-4000_sma_amean,pcm_fftMag_spectralRollOff25.0_sma_amean,pcm_fftMag_spectralRollOff50.0_sma_amean,pcm_fftMag_spectralRollOff75.0_sma_amean,pcm_fftMag_spectralRollOff90.0_sma_amean,pcm_fftMag_spectralFlux_sma_amean,pcm_fftMag_spectralCentroid_sma_amean,pcm_fftMag_spectralEntropy_sma_amean,pcm_fftMag_spectralVariance_sma_amean,pcm_fftMag_spectralSkewness_sma_amean,pcm_fftMag_spectralKurtosis_sma_amean,pcm_fftMag_spectralSlope_sma_amean,pcm_fftMag_psySharpness_sma_amean,pcm_fftMag_spectralHarmonicity_sma_amean
1.131633,260.0545,0.05057068,0.29387543,0.34120664,89.45425,0.015685214,0.043064736,29.716606,98.2476,247.51285,265.76703,139.19853,164.0087,199.78778,252.32631,209.88611,172.10689,210.28362,242.69196,231.33427,239.56262,285.93356,320.14697,332.8186,341.50778,379.38666,410.5632,396.1881,378.76138,339.20026,289.44638,202.7927,158.99835,2.3305829,0.32951328,81.39449,156.50372,829.4191,1921.8553,0.6400755,561.5236,3.8398821,2453211.0,1.2890604,10.721633,0.43687606,0.40473703,1.6145312,9.85602,31.492338,85.29841,95.76425,48.894447,54.45721,64.92106,88.65054,72.205475,54.452145,72.149284,83.37313,78.08704,79.29241,97.25078,109.80208,113.98563,114.87873,129.13464,141.75847,136.7086,130.66335,117.76213,100.29308,69.224304,54.502106,0.8643893,0.108860835,25.96284,57.48212,321.1242,550.39856,0.21169238,178.76535,1.568976,739556.25,0.35060787,4.070788,0.15256797,0.1275357,0.56609595,169.97081,81.86105,0.70405877,0.022185883,0.11371337,0.08530475,0.121172346,0.10689213,0.31772098,0.23271786,-47.786125,45.773598,-1.0416194,0.8887325,-4.7411518e-06,0.00029621093,-0.0010771232,0.0029448702,0.00060443394,0.0020541532,-0.0035680367,0.007983745,-0.06435094,0.3169295,1.4814551,109.90779,0.04609015,0.20706019,13.691033,45.844467,103.849045,106.32213,61.74438,77.33348,92.30797,106.99228,94.620605,83.0345,93.33753,106.459724,103.29922,110.044075,126.6542,140.89076,146.03807,151.31087,164.87088,176.91841,170.1975,161.16444,143.08669,121.7765,87.5873,68.226364,0.9669076,0.17373309,215.625,304.16666,999.6528,3126.736,0.57255745,989.37494,4.690538,3229260.0,2.676477,14.650569,-0.21195497,0.7530572,0.72630775
1.0341208,0.19021273,0.05351911,0.012893238,0.23285456,0.051637206,0.013029787,0.0034977791,0.03734741,0.05854011,0.09797648,0.17068537,0.13608281,0.12784502,0.13397871,0.22930278,0.24384913,0.16688146,0.204411,0.19268179,0.22022274,0.23719467,0.30569565,0.2856421,0.2940857,0.2595407,0.29555786,0.25534844,0.30038154,0.3003244,0.2589138,0.20919812,0.1718813,0.12786588,2.3889072,0.4014545,60.527233,101.989136,524.34924,1416.3276,0.5732501,312.07047,0.42235473,1830373.0,0.8223244,7.8888106,0.48931217,0.2095976,1.8797681,0.0085512055,0.010077243,0.034613725,0.064324945,0.046604358,0.042559315,0.05291136,0.07957417,0.06488519,0.052910164,0.06512675,0.053090855,0.050284117,0.07681616,0.08187372,0.084176816,0.07949877,0.05892867,0.07464753,0.074076876,0.0670403,0.07562029,0.066133544,0.05518213,0.052869037,0.040813442,0.8491798,0.119509876,24.655005,36.86117,196.26224,326.47473,0.18828423,98.572815,0.18789181,514874.5,0.16946937,1.7538495,0.14644282,0.071494326,0.5378107,180.4537,26.229595,0.7083397,0.023935905,0.1012438,0.082598634,0.10191976,0.0965059,0.13905138,0.053988926,-44.865887,51.42282,-0.5547705,0.9673125,1.0373025e-05,0.00030457944,0.0001806388,0.0010017809,0.00015683408,0.0010978035,-8.568936e-05,0.0008097686,-0.055934552,0.15880768,2.326643,0.78368837,0.080452286,0.077083334,0.10938713,0.21275696,0.31934115,0.4951564,0.61892384,0.70358264,0.6832071,0.84279966,0.9433089,0.8254734,0.9042761,0.84131163,0.9045512,1.0207419,1.1831758,1.1882122,1.0447117,1.0636644,1.1520197,1.0546908,0.9732916,0.9367112,0.77173084,0.63933676,0.52947915,0.41405463,1.5085196,0.34495646,230.90277,306.59723,947.9167,3729.1667,0.880783,1148.0099,4.1620913,3818494.0,2.9503977,14.147546,-0.40586948,0.8677239,1.2571998
0.90485823,0.197949,0.04538175,0.011235829,0.36279255,0.09314092,0.020381391,0.004186327,0.10396334,0.117801055,0.13180037,0.16883865,0.20079662,0.20550779,0.21150988,0.24389371,0.3712597,0.36371747,0.35655925,0.291614,0.33072734,0.3345607,0.33187953,0.33393538,0.42142177,0.4602888,0.4705959,0.46011856,0.39099798,0.3525587,0.33552462,0.2776901,0.2681273,0.22088937,1.3529527,0.4974815,74.36561,192.08408,667.48566,1419.7318,0.72730726,359.90042,0.64067215,1642150.8,0.9602568,9.300786,0.85510486,0.25343436,0.93562126,0.030276991,0.03669655,0.05071481,0.05529518,0.06395306,0.07897168,0.0842747,0.078679495,0.1409416,0.12803566,0.11043137,0.095966175,0.1189903,0.11608301,0.12284746,0.12471965,0.13955337,0.16091117,0.15963525,0.15634099,0.13357985,0.12504919,0.11537207,0.09653665,0.09113423,0.076211385,0.6093158,0.21286552,25.363274,73.26285,249.16307,440.41873,0.31282473,131.13797,0.23459162,596986.94,0.28164133,2.5225482,0.2875609,0.091145575,0.4026024,178.60132,27.264177,0.70967674,0.02563251,0.04375884,0.01256708,0.038738497,0.013274181,0.13136213,0.059906702,-36.022575,42.768414,-0.41344395,0.6115801,0.0002414492,0.0010471302,-0.00018885685,0.00044874827,3.987291e-05,0.00012679654,-4.4981243e-06,0.0008650661,0.5300345,1.9265643,2.781222,0.90115386,0.10496087,0.08000772,0.15730627,0.27774692,0.36944243,0.4730977,0.65202063,0.7354055,0.74325776,0.7730882,0.92789674,0.97298485,0.9962494,1.0622023,1.1250052,1.1666014,1.1652613,1.2174367,1.2880332,1.3581163,1.3671064,1.3484057,1.2616591,1.1150215,0.98414356,0.7502379,0.6324984,0.5097745,1.2970653,0.5550288,205.20833,306.25,1219.7916,4114.9307,1.2195892,1231.8945,4.27546,4308385.0,2.6979613,12.230056,-0.6559012,0.9067348,1.2562214
0.2896563,0.09723018,0.017988278,0.03342577,0.15070985,0.04067262,0.0069734864,0.007723964,0.03942885,0.068832904,0.10791062,0.1410076,0.13756564,0.27465704,0.27832666,0.23277736,0.24038263,0.13943179,0.26013955,0.26841846,0.20389305,0.2010923,0.1794501,0.22004953,0.30671895,0.22170487,0.25120282,0.5241825,0.28064284,0.31166935,0.19003291,0.1506938,0.14235453,0.1626711,1.18567,0.45673656,149.11935,397.26685,1445.2411,2266.3862,0.5924124,745.411,0.69736725,4245017.0,0.89822084,7.564633,0.5039558,0.5205431,0.8744094,0.016155325,0.026980573,0.02754631,0.033290926,0.041803323,0.07926006,0.0812839,0.068100676,0.085221484,0.05587235,0.1006608,0.09501694,0.0647813,0.06116426,0.066852994,0.07872498,0.106367454,0.08522526,0.08812366,0.223533,0.11566807,0.12646817,0.06496255,0.055406816,0.061889544,0.064377055,0.31928748,0.16104805,44.911976,110.291664,439.26965,682.4384,0.16450153,213.84862,0.21415198,1212875.9,0.28531516,2.3303585,0.14239791,0.14827687,0.2382274,165.38333,99.33154,0.70239705,0.018974736,0.12275074,0.07258177,0.08691042,0.07461158,0.15608263,0.09551351,-64.942154,43.773067,-0.117026985,0.20914915,-5.9251823e-05,0.00038522077,-0.00055591646,0.00047629018,2.6118705e-05,1.261896e-05,0.0019448642,0.003418031,-0.4107284,1.2679366,2.9679272,1.0399089,0.0987168,0.11268519,0.11797475,0.27401587,0.42422444,0.5755226,0.7901272,0.9864058,1.119496,1.1222149,1.1085491,1.0288429,1.2191132,1.2199527,1.1887348,1.1804997,1.2838544,1.3504492,1.372426,1.4234937,1.5991404,1.5930991,1.3217163,1.2523991,1.1342058,0.988813,0.71602833,0.6463302,1.2720509,0.61831033,286.1111,607.2917,2296.5278,5057.6387,1.0947448,1776.574,5.037172,7259091.0,2.6449552,12.178896,-0.43014014,1.299992,1.1181837
0.3342325,0.107729204,0.026846152,0.03948975,0.092096135,0.026245335,0.005623732,0.008467234,0.031109113,0.048241485,0.069017604,0.119345196,0.08975502,0.11345644,0.15432349,0.14212278,0.14791621,0.16981956,0.32143432,0.29902896,0.2409218,0.16525489,0.2459915,0.45619652,0.37421355,0.13680547,0.17603856,0.4843592,0.12689075,0.2566195,0.16581401,0.12868138,0.15235338,0.13807352,0.59822774,0.34271723,220.25749,697.73956,1506.7444,2417.4165,0.26926497,900.31464,0.6741041,4134331.8,0.97306585,7.1006565,0.26586485,0.6136012,0.34401524,0.0077607697,0.013095077,0.023796476,0.040700164,0.022278935,0.035318337,0.041906845,0.043896474,0.05596415,0.0636313,0.12095012,0.1158077,0.09344983,0.06973339,0.06636963,0.12509269,0.1110442,0.057123784,0.056256313,0.08390659,0.046073034,0.06383447,0.052153368,0.041373402,0.044353794,0.04446677,0.13906564,0.15558459,53.24154,168.30234,451.14105,753.8464,0.1479316,255.7771,0.19749744,1445793.0,0.27508354,2.2685318,0.09969322,0.1815796,0.21030672,137.96901,112.95947,0.73618746,0.031319126,0.020906312,0.02694044,0.021153627,0.04161336,0.14530301,0.08048755,-13.827809,30.002436,0.06809137,0.4168767,-1.8945564e-05,0.0005869084,-1.9550447e-05,7.572413e-05,-9.186801e-06,0.00011962676,-0.00054010504,0.0027834782,-0.12725373,1.0855778,2.8932922,0.9783402,0.09747594,0.10060185,0.09225906,0.22834578,0.3916043,0.48559055,0.5164922,0.6856244,0.8357005,0.8826932,0.9909249,1.0789777,1.2796682,1.1819979,1.2879449,1.2623885,1.2493614,1.51287,1.5516951,1.3422325,1.3994154,1.5689929,1.1855277,1.2441005,1.0086195,0.83930606,0.7346572,0.5998554,0.9816385,0.6648993,281.94446,738.5417,2013.5416,4156.9443,0.9664103,1573.3446,4.880634,5355333.0,2.8911445,14.421572,-0.43534657,1.1465011,0.93949735
0.27987206,0.09715478,0.047032714,0.027645312,0.086190164,0.02996122,0.009939293,0.006586937,0.060527477,0.095618434,0.06851163,0.080300145,0.08500479,0.056805722,0.17206237,0.12075535,0.19259144,0.21765137,0.17081022,0.37347126,0.25979665,0.18218239,0.25651056,0.20188941,0.21388245,0.18399654,0.12952423,0.17013475,0.17312415,0.11202481,0.13059501,0.12738602,0.12682976,0.13087331,0.5986783,0.2658866,131.6313,178.75934,807.9637,1727.1562,0.5440509,495.4,0.8090566,2582097.2,1.8117138,26.226318,0.71258456,0.35984457,0.33456606,0.014866603,0.02349859,0.019598734,0.022118691,0.017881347,0.02331,0.0539559,0.03484887,0.06976366,0.07347329,0.058112852,0.12294294,0.087028936,0.064747825,0.11024711,0.07664296,0.08058621,0.05741275,0.046026416,0.06833084,0.0587157,0.03535598,0.03878614,0.036515176,0.035285756,0.040246245,0.13119248,0.09332072,30.638395,43.57301,241.5641,524.19464,0.15357302,125.52969,0.17391977,736656.0,0.38123634,5.746923,0.16953127,0.088089556,0.08073502,85.06665,21.758614,0.76480544,0.021955984,0.11061392,0.13813947,0.16900398,0.21221358,0.20496048,0.11911238,6.4765058,2.377375,-0.0921265,0.42316023,1.6430664e-05,0.00016934202,1.6032334e-05,0.00124503,9.2771494e-05,0.0016344311,0.00053338066,0.0021058372,-0.010712752,0.03447774,2.791836,1.0131402,0.11293846,0.09280864,0.09590564,0.20671202,0.3780857,0.5788767,0.76819754,0.7927426,0.9051903,0.9137726,1.0557417,1.0104662,1.0090058,1.2400233,1.3279487,1.3134222,1.4116284,1.4578989,1.5263839,1.4476997,1.3481348,1.3586155,1.4211284,1.2820035,1.1084087,0.946881,0.8135176,0.6232543,1.7409809,0.51777077,286.1111,426.04166,1166.6666,3229.1667,1.0514286,1211.3955,4.3087716,4402959.0,3.6777942,23.51852,-0.6773742,0.9282808,0.98766273
0.68031204,0.108618915,0.051848046,0.028060727,0.14826564,0.036033772,0.009023628,0.0054380023,0.051578112,0.062057387,0.07913345,0.10153182,0.112012684,0.094503015,0.14399621,0.20415652,0.22988825,0.31325534,0.2889842,0.22758318,0.16990265,0.2049644,0.16414866,0.20151024,0.19859923,0.20823328,0.19081978,0.16203989,0.16893446,0.14968173,0.16028923,0.13705398,0.100652516,0.121444836,0.5518472,0.5863369,124.24441,157.7263,540.21387,1861.8965,0.47403786,492.2671,0.70670074,3759679.2,1.4231335,20.22502,0.74530405,0.36331174,0.6768028,0.010116947,0.012300567,0.021865804,0.031807538,0.032256667,0.025704946,0.05779912,0.076918334,0.08997657,0.1237181,0.10250872,0.08477123,0.0723147,0.06398435,0.0603605,0.062070165,0.059540663,0.047895007,0.047480263,0.039658513,0.048574712,0.048097078,0.05187481,0.04280754,0.03355669,0.04226243,0.21641333,0.14966552,29.039566,39.465233,189.21663,571.43274,0.1569572,136.72798,0.21639319,932940.8,0.39918154,5.2385497,0.14848009,0.09798485,0.24655414,117.397194,48.48302,0.7338105,0.037542053,0.18258983,0.16733462,0.113316916,0.09347796,0.12126164,0.0592449,-33.088287,48.42617,-0.114619665,0.65240675,0.00013242466,0.00053576805,-0.00022354629,0.002013282,3.966352e-05,0.0011599436,0.0002122438,0.0008013195,0.01909839,0.21686149,2.7677195,0.85150707,0.11360744,0.083387345,0.103293985,0.20461667,0.36431703,0.5699053,0.70382553,0.76768166,0.9458531,0.9152505,0.9387191,0.96798784,0.93162096,0.98228735,1.1772093,1.0314986,1.0808362,1.2682616,1.1473144,1.0759885,1.1374544,1.10105,1.0670676,0.9501182,0.85983187,0.71799934,0.6241019,0.5050924,1.1418705,0.53956485,217.01389,345.1389,881.5972,3171.5278,1.1261595,1132.9038,4.30289,5126283.5,3.8071797,22.810581,-0.7012584,0.8759568,0.94248945
0.31768006,0.081486665,0.062849104,0.043669354,0.15431356,0.026985709,0.019373711,0.006152787,0.082409315,0.08352939,0.06419086,0.14635956,0.139312,0.14009796,0.22110362,0.17050335,0.2184614,0.26169127,0.24328561,0.19129257,0.11704979,0.17853892,0.21241102,0.26289317,0.18533128,0.17863637,0.18280463,0.24471812,0.15733731,0.18746954,0.20087115,0.14844441,0.14116903,0.1680012,0.5722825,0.29171953,157.07469,483.7646,1132.8406,2169.2888,0.59876186,706.32434,1.1523771,3668227.2,4.2959423,171.41025,1.0945435,0.5028866,0.78969413,0.024129104,0.02286703,0.017757628,0.040766697,0.033078715,0.045240033,0.053563215,0.05627959,0.07722592,0.09022871,0.08024656,0.0648602,0.03624613,0.065164685,0.08105683,0.09357314,0.074109964,0.059267342,0.059461273,0.076845884,0.05171258,0.06571131,0.06425479,0.041692946,0.04018603,0.057847038,0.1447518,0.14185308,35.48402,131.80615,328.1086,556.84784,0.22629605,168.81848,0.2681974,940290.1,1.376179,62.297432,0.3702654,0.116368614,0.3520894,198.25264,115.114204,0.7238584,0.028499866,0.088491686,0.059782226,0.08487047,0.06171822,0.1475832,0.06842751,-28.901398,41.729263,0.05512767,0.7006986,0.00063520175,0.0021216276,5.6881105e-05,0.00077062845,8.349027e-05,0.00087011943,-3.4439694e-05,0.0008562218,0.61817324,2.0701106,2.8029075,0.97383916,0.11686718,0.09454475,0.13814479,0.22258401,0.37925437,0.64372545,0.71922445,0.91903013,1.0502717,0.9586552,0.9730982,1.0218748,1.1746069,1.0400808,1.056455,1.1538935,1.2935275,1.5017594,1.3296053,1.1856458,1.3509916,1.466197,1.0991812,1.1795862,1.0428004,0.9109147,0.8199136,0.68879545,1.0545398,0.65731853,277.08334,634.7222,1604.1666,3736.8057,1.2637384,1373.6036,4.47305,4911940.0,4.5547585,76.01199,-0.8153149,1.0150136,1.0908678
0.598668,0.22453444,0.042892005,0.027841015,0.19916593,0.066617414,0.01149503,0.00723912,0.07104666,0.12049866,0.08860627,0.07817958,0.13385153,0.15013568,0.16947992,0.204297,0.10917463,0.18439524,0.20995484,0.50670785,0.399014,0.40898624,0.36794984,0.16550824,0.376971,0.66883487,0.4176195,0.31150752,0.723672,0.36399695,0.36408857,0.28419882,0.18419863,0.21154392,1.1269116,0.6241186,120.07176,555.21265,1321.3113,2453.6865,0.511777,831.31775,0.7661578,3846593.8,1.2215651,11.8983965,0.66669846,0.564897,0.78205293,0.020065486,0.03506286,0.0284123,0.025333053,0.03138876,0.029641192,0.04935654,0.071881495,0.044522777,0.06298392,0.080904886,0.15983474,0.14024457,0.1270173,0.11294932,0.0595984,0.10630777,0.20863825,0.11574798,0.09510221,0.20963179,0.10681663,0.11624909,0.08030757,0.052256737,0.06171424,0.3217503,0.22823645,40.747482,160.22852,332.73685,698.29724,0.18528184,216.70103,0.2262258,1111217.4,0.35496408,3.48952,0.1885968,0.1511293,0.30526817,78.432976,16.397818,0.7230414,0.026030073,0.12608813,0.12048059,0.16238944,0.13813378,0.12588316,0.052132476,-13.740819,36.333424,-0.056944113,0.20809966,-7.269773e-05,0.0012893523,-1.0922132e-05,0.0013807961,0.00030676834,0.00094126316,6.0381913e-05,0.0006543721,0.40103433,1.0213766,3.2028792,1.0651283,0.1273172,0.07951389,0.15197666,0.3014417,0.458091,0.54846764,0.6122488,0.7210102,0.908191,0.9544191,0.9499999,1.0676291,1.0605092,1.3863183,1.4014164,1.4928621,1.4507622,1.3345593,1.5267255,1.7914912,1.5565131,1.4661044,1.7457522,1.2473725,1.1446531,0.9610466,0.77922535,0.6745495,2.065927,0.78246146,212.84723,422.91666,1102.0834,2575.3472,1.2571251,1029.0168,4.4894514,3219115.5,3.864516,23.7246,-0.8427752,0.7986487,1.271757
0.32759464,0.10111114,0.066555545,0.03391809,0.12788469,0.03778956,0.020575393,0.007197443,0.30853504,0.2783988,0.09193278,0.16865389,0.17534266,0.14951743,0.17615615,0.18236507,0.22682123,0.14441155,0.27616864,0.2845628,0.23672368,0.20446305,0.21802324,0.15575518,0.12553005,0.16031508,0.25018638,0.16863202,0.13718149,0.3138913,0.22469127,0.15469654,0.13266747,0.08442992,1.1796792,0.2941844,169.47485,488.4308,1137.8472,1836.6699,0.6181961,651.22815,1.0344876,2291110.0,2.5833027,46.932293,1.1113745,0.4401821,0.5459924,0.09211349,0.08894129,0.027153254,0.045058995,0.038090277,0.038746446,0.045391545,0.0707451,0.06527478,0.038770627,0.10980578,0.115296766,0.093290314,0.08268791,0.081783704,0.06202063,0.0497655,0.059889674,0.091692574,0.054671194,0.052441213,0.11688169,0.08445888,0.05650441,0.045367982,0.03369259,0.2211975,0.11756062,39.29988,105.851944,253.50613,518.05786,0.20864694,152.12657,0.27924484,639730.25,0.8328173,16.464067,0.3813395,0.105257675,0.18301782,156.87901,129.73085,0.74602246,0.027360013,0.085747294,0.119797364,0.144834,0.2021882,0.14001699,0.079118416,-0.77884233,17.781448,-0.39170617,1.538187,6.6856104e-05,0.0008402658,-4.00155e-05,0.0010178024,3.352169e-05,0.0015999709,-0.0012337732,0.0034222628,-0.04678384,0.61643934,2.7302747,1.0164003,0.11386915,0.0880787,0.28688505,0.4082531,0.47180063,0.74101007,0.7726778,0.91568106,0.9886183,0.9914907,0.9276187,0.99606675,1.0816764,1.118918,1.3127654,1.2979163,1.3584796,1.2786013,1.4314305,1.4115503,1.3953934,1.3437965,1.2612656,1.285038,1.1125636,0.90533304,0.728922,0.6026563,1.4647257,0.491478,308.33334,622.9167,1499.3055,3276.0417,1.0282764,1303.8887,4.3179855,3933247.0,3.8345344,31.767817,-0.8166117,0.96392065,1.0525087
